Gene_acc,Gene_id,logFC,logCPM,log_PValue,Desc
37,Tb927.7.7520,0.751098453,7.879246807,130.5307285,receptor-type adenylate cyclase GRESAG 4  putative
38,KS17gene_4902a,1.203181614,5.730583875,128.8023845,none
39,Tb927.7.2160,-0.879177512,5.607132841,127.7398179,hypothetical protein  conserved
40,Tb927.7.6884,-0.809616457,6.290049872,127.4800575,M1 ribosomal RNA
41,Tb927.11.5050,-0.80451429,6.313029063,123.6936471,fumarate hydratase  class I
42,Tb927.6.1520,-1.098384897,6.92037791,123.2948438,Aquaglyceroporin 1
43,Tb927.11.1070,-0.80459901,7.318312321,122.8330707,glycosomal transporter (GAT3)  putative
44,Tb11.v5.0541,-0.869991565,5.812521155,121.8918537,amino acid transporter  putative
45,TRY.384,-1.256689655,4.603553716,119.2295461,none
46,Tb927.2.1986,-1.197067081,4.675166861,115.5679,M2 ribosomal RNA
47,Tb927.2.6000,-0.740823857,8.270959529,115.4897451,glycosylphosphatidylinositol-specific phospholipase C
48,Tb11.v5.0472,0.690290809,7.922854183,115.0733549,hypothetical protein  conserved
49,Tb927.10.2410,-0.8391636,6.260131312,113.1159,MSP-C  putative
50,Tb927.9.4190,-0.722584044,7.502251485,112.831581,fatty acyl CoA syntetase 1
51,Tb927.7.6886,-0.965486173,5.670422424,112.5828251,M2 ribosomal RNA
52,KS17gene_16a,0.934614524,5.558855535,111.9560951,none
53,Tb927.10.3350,-1.061777103,6.259480879,111.4324843,major facilitator superfamily  putative
54,Tb927.8.2210,-0.954975987,5.428731302,110.6842205,pteridine reductase 1
55,Tb927.3.3424,-1.009110086,4.920602999,108.9396272,M1 ribosomal RNA
56,Tb927.4.4870,-0.835067015,7.294050414,106.7698524,amino acid transporter  putative
57,Tb427.BES129.2,1.032683878,7.175284832,106.0695938,none
58,Tb927.3.2100,-0.707871463,6.637548358,105.8149634,hypothetical protein  conserved
59,Tb927.8.8290,-0.689558751,8.263261789,105.5317352,amino acid transporter AATP5
60,Tb927.10.12740,-0.692431452,6.545725278,105.0819095,Zinc finger CCCH domain-containing protein 35
61,Tb927.2.1425,-1.017206905,5.097309136,104.5865063,M1 ribosomal RNA
62,Tb927.6.186,-0.878067176,6.045641496,103.8819477,M1 ribosomal RNA
63,KS17gene_240a,0.798378923,6.167383971,103.1515814,none
64,Tb927.10.3600,0.832037669,5.493384729,103.0603836,hypothetical protein  conserved
65,tmp.1.50,-0.779790791,6.294376221,102.0825278,M1 ribosomal RNA
66,TRY.19,0.753191863,8.340339407,101.3268344,none
67,Tb927.9.13580,0.668532886,6.347863252,100.4043707,hypothetical protein  conserved
68,Tb927.2.1964,-1.024876131,5.007565143,99.4870689,M1 ribosomal RNA
69,Tb927.7.2140,-0.818635603,6.0560791,98.7716489,zinc finger protein family member  putative
70,Tb427VSG-632,1.217144724,4.66813268,98.28715772,none
71,Tb927.5.1360,0.702466089,6.701764581,98.23787165,nucleoside 2-deoxyribosyltransferase
72,Tb927.5.890,0.94118165,8.074285495,97.69266801,oligosaccharyl transferase subunit  putative
73,Tb927.3.3444,-0.983719367,5.322644101,97.67724213,M2 ribosomal RNA
74,Tb927.3.3435,-0.997508928,5.419749633,97.1100985,M2 ribosomal RNA
75,Tb11.v5.1037,-1.059112146,4.806780907,96.1956001,variant surface glycoprotein (VSG)  putative
76,KS17gene_5732a,-0.949176937,7.036242236,95.99368545,none
77,Tb927.1.2390,-0.49672922,11.30192642,95.92358767,beta tubulin
78,Tb927.3.3420,1.418689098,3.584729747,95.78523665,hypothetical protein  point mutation
79,Tb927.3.3425,-1.000324993,6.154191352,95.26056539,28S beta ribosomal RNA
80,Tb927.8.7700,-0.992417404,5.911379979,94.79119359,amino acid transporter  putative
81,Tb927.4.4830,-0.725298819,5.676070671,94.40601142,amino acid transporter  putative
82,Tb927.10.16100,-0.844093355,5.688680702,94.17167661,FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase  putative
83,Tb927.3.4070,-0.618193641,9.903392642,94.13542276,Pyruvate transporter  putative
84,Tb927.2.2770,-0.745555892,6.418628178,94.10418515,hypothetical protein  conserved
85,tmp.1.70,-0.894905915,5.879476701,93.92596849,M2 ribosomal RNA
86,Tb927.11.2690,-0.657477563,6.865536605,91.86854664,Succinyl-CoA:3-ketoacid coenzyme A transferase  mitochondrial
87,Tb427.BES40.16,1.152117095,9.463699825,91.12579809,none
88,Tb927.8.7730,0.798637262,6.174664123,90.86200787,Sphingosine N-acyltransferase  putative
89,tmp.1.60,-1.007653743,6.50614687,90.45305021,28S beta ribosomal RNA
90,Tb927.5.1410,0.757236979,6.847211,90.35219446,64 kDa invariant surface glycoprotein
91,TRY.399,-0.695966707,6.626087273,90.08240273,none
92,Tb927.2.1997,-1.066561135,4.985889461,90.01120015,M6 ribosomal RNA
93,Tb927.8.5450,-0.747635957,7.610064106,89.39684059,amino acid permease 24
94,Tb927.11.18720,-0.96537299,6.940498699,88.77575941,variant surface protein (VSG)  putative
95,Tb927.9.6560,-0.634805951,7.327080841,88.233502,NAK family pseudokinase  putative
96,Tb927.1.3950,-0.646054572,7.931052492,87.61238228,alanine aminotransferase
97,Tb927.8.3380,-0.692765151,6.640363717,87.55674017,succinate dehydrogenase iron-sulfur subunit
98,Tb927.10.8440,-0.666919908,6.192005588,87.40551317,glucose transporter 1B
99,KS17gene_630a,1.217764435,4.483996245,87.24564105,none
100,Tb927.6.520,0.869972666,4.903615918,87.21159727,EP3-2 procyclin
101,MSTRG.603,0.716055367,6.950303286,87.12966593,none
102,TRY.489,-0.917528475,5.082280206,86.82629492,none
103,Tb11.v5.0756,-0.694779715,7.249158981,85.84753751,DNA polymerase kappa  putative
104,Tb927.9.8450,0.670807217,6.564923909,85.72821278,UMP/CMP kinase
105,Tb927.3.710,0.730417908,6.338337417,84.51957409,RING-variant domain containing protein  putative
106,Tb927.11.6390,-0.618891508,6.438293845,84.28380357,START domain containing protein  putative
107,Tb927.11.6640,-0.936830433,5.061835758,83.04488342,cytochrome b5  putative
108,TRY.1045,2.21284306,1.934867919,82.75715813,none
109,TRY.731,-0.680070536,6.706887929,82.64191997,none
110,Tb427.BES129.3,0.994481716,6.821103485,82.57265233,none
111,Tb927.8.7760,-0.777876419,6.34354583,82.21863944,hypothetical protein  conserved
112,Tb927.3.3433,-0.965803139,4.902104697,82.1588204,M1 ribosomal RNA
113,Tb927.11.6240,-0.929875071,5.294991897,82.12605755,hypothetical protein  conserved
114,Tb927.9.7980,-0.739648788,5.496090402,82.09007848,hypothetical protein  conserved
115,Tb927.2.1510,-1.032489742,6.065602879,81.89597986,28S beta ribosomal RNA
116,Tb927.9.15100,0.651407491,5.817327488,81.63403212,hypothetical protein  conserved
117,Tb927.4.4850,-0.732209411,5.683290046,81.3124956,amino acid transporter  putative
118,Tb927.1.4830,-0.734121203,5.614388253,80.93925195,phospholipase A1
119,Tb927.7.6885,-1.003544681,6.385450354,80.60466226,28S beta ribosomal RNA
120,Tb927.9.2260,-0.923899651,6.195108463,80.50096366,PQ loop repeat  putative
121,Tb927.5.1570,0.648655504,7.483772727,80.38980815,zinc finger CCCH domain containing protein 12
122,Tb927.8.7680,-0.836783508,7.433913069,80.18003776,amino acid transporter  putative
123,Tb927.11.6590,-0.619943166,7.576669618,80.16594533,metallo-peptidase  Clan MF  Family M17
124,Tb927.3.3451,-1.040786484,4.905250846,79.70222808,M1 ribosomal RNA
125,MSTRG.608,0.654791775,6.749555351,79.32785152,none
126,Tb427.BES40.17,0.663646945,6.958771187,78.95391381,none
127,Tb927.11.5720,-0.655302251,6.298406455,78.13676383,hypothetical protein  conserved
128,TRY.440,-0.847032937,5.02889245,77.65570723,none
129,Tb427.BES129.4,0.996689209,7.155884752,77.58945128,none
130,Tb927.11.13260,-0.721809592,5.737694225,77.26553496,hypothetical protein  conserved
131,Tb927.10.7020,0.659839613,6.123004048,77.01740575,acid phosphatase  putative
132,TRY.655,-1.189365843,3.974930668,77.00584034,none
133,Tb927.7.4290,0.758198451,7.026674379,76.96685107,Nuclear distribution protein C homolog
134,Tb927.8.480,1.863521443,5.096392481,76.70343751,phosphatidic acid phosphatase protein  putative
135,tmp.1.90,-1.174807087,4.330846164,76.26304126,M4 ribosomal RNA
136,MSTRG.652,-0.759535666,5.209013538,76.24402431,none
137,Tb927.11.2650,-0.607331196,8.529838901,76.20406333,heat shock protein 84  putative
138,Tb927.10.13430,-0.998754277,5.354913491,75.94368092,citrate synthase  putative
139,Tb927.7.210,-0.882152822,6.75764703,75.75924022,Proline dehydrogenase  mitochondrial
140,Tb927.11.16200,-1.165671152,6.10777419,75.39686445,cytoskeleton-associated protein 17
141,KS17gene_2164a,-0.628106839,6.833891285,75.33962411,none
142,Tb927.3.4280,-0.744682838,5.947601581,75.16598933,mismatch repair protein MSH5  putative
143,Tb427.BES40.18,0.759742035,9.678234022,75.06712736,none
144,Tb927.3.3453,-1.185593887,4.321039772,74.45624005,M2 ribosomal RNA
145,Tb11.v5.1021,-1.013696379,4.823499868,74.22227756,variant surface glycoprotein (VSG)  putative
146,Tb11.v5.0261,-0.619591785,6.138695918,74.22324611,adenosine 5'-monophosphoramidase  putative
147,Tb427VSG-1554,1.04567173,4.628202565,73.86651595,none
148,Tb927.3.3434,-0.989310903,6.459616235,73.72825476,28S beta ribosomal RNA
149,Tb427.BES40.6,0.699308743,6.972768656,73.72525885,none
150,Tb11.v5.0678,-0.553972837,7.465337278,72.6325014,hypothetical protein  conserved
151,Tb927.10.8540,0.575990475,6.63440197,72.51738871,chaperone protein DnaJ  putative
152,Tb927.11.7710,0.669145152,6.386003947,72.49482314,Gp63-1 surface protease homolog  putative
153,Tb927.11.10640,0.612347989,6.263014928,71.84534358,DNA-(apurinic or apyrimidinic site) lyase  putative
154,Tb927.3.3443,-0.966022849,6.46715899,71.55842665,28S beta ribosomal RNA
155,Tb927.10.15350,-0.789456404,7.329253815,71.35827209,histone H3 variant V
156,Tb11.v5.0411,-0.828112497,5.516789992,71.11558815,peptidylprolyl isomerase-like protein  putative
157,Tb927.8.1460,0.877271679,6.284556384,71.11087051,EamA-like transporter family  putative
158,Tb927.3.3580,-0.63431206,8.09289187,70.96447899,heat shock protein 90  putative
159,Tb927.5.1390,0.78872572,6.01596095,69.8656842,64 kDa invariant surface glycoprotein
160,TRY.427,0.718031604,5.407311689,69.39622694,none
161,TRY.22,0.567248276,8.03689382,69.37267786,none
162,Tb427.BES40.11,0.673787629,6.813212203,68.89602791,none
163,Tb927.7.5790,-0.549323663,7.867412103,68.66685396,protein disulfide isomerase  putative
164,Tb927.5.4010,0.630758696,6.304873656,68.07475818,Enriched in surface-labeled proteome protein 4
165,TRY.6,-0.62173351,5.636478202,68.06394342,none
166,Tb927.11.6250,-0.609019882,5.949872901,67.89324583,Mitochondrial ATP synthase subunit  putative
167,Tb927.7.2980,0.643132775,6.710158151,67.82593494,Nitroreductase family  putative
168,Tb927.9.2250,-0.679677297,5.213456877,67.70194126,hypothetical protein  conserved
169,Tb11.v5.0308,-0.656430558,6.126675673,67.5416241,THT1 - hexose transporter  putative
170,Tb927.1.2260,0.623683539,7.919070181,67.34996158,small myristoylated protein 1-2
171,Tb927.3.1500,1.06459012,4.660752438,67.28581151,variant surface glycoprotein (VSG)-related  putative
172,Tb927.11.16730,-0.661237352,7.8269695,67.21631394,dihydrolipoyl dehydrogenase
173,Tb927.11.6210,-0.768769753,6.409592397,67.09697204,Lanosterol 14-alpha demethylase
174,KS17gene_719a,-0.57450202,7.264728084,66.70568258,none
175,Tb927.10.13900,-0.620549885,5.563117678,66.21623222,Nucleotide sugar transporter 1
176,Tb927.8.5470,0.907313572,7.006357722,66.19345157,flagellar calcium-binding 24 kDa protein
177,Tb11.v5.0208,-0.678708224,5.413480379,65.88432283,invariant surface glycoprotein  putative
178,Tb927.8.5120,-0.557886461,8.550145457,65.88448739,cytochrome c
179,Tb07.11L3.90,-0.690450258,6.534668229,65.70803545,zinc finger protein family member  putative
180,Tb927.1.2230,-0.710453414,7.668532455,65.66853554,small myristoylated protein 1-1
181,Tb927.8.5465,0.687940826,6.348554212,65.59684242,flagellar calcium-binding 24 kDa protein
182,Tb927.10.13420,-0.883800146,4.717585999,64.98796111,hypothetical protein
183,TRY.183,-0.749539737,4.970247979,64.78771368,none
184,Tb927.2.4210,0.656511158,8.146465884,64.71664769,Phosphoenolpyruvate carboxykinase [ATP]  glycosomal
185,Tb927.2.1520,-0.988519797,5.10714436,64.36302587,M1 ribosomal RNA
186,Tb927.10.12360,-0.637666364,5.918341577,64.27647624,hypothetical protein  conserved
187,Tb927.10.8020,0.506390385,8.429510676,64.05569284,prolyl endopeptidase
188,Tb927.5.1430,0.674409029,6.245139907,63.83255115,64 kDa invariant surface glycoprotein
189,Tb427.BES40.20,0.729081819,9.074834371,63.57392047,none
190,Tb927.1.4490,-0.581084252,6.908376697,63.23254921,acetyltransferase  putative
191,Tb11.02.5400b,-0.802093726,5.407301683,63.04593624,cystathionine beta-synthase  putative
192,Tb927.7.6887,-1.105274991,5.072309957,62.24737536,M6 ribosomal RNA
193,Tb927.11.10810,-0.592279663,6.476994612,61.70952287,pumillio/PUF RNA binding protein 11
194,Tb927.9.12500,-0.900437879,4.609219024,61.35835335,Present in the outer mitochondrial membrane proteome 7
195,Tb11.v5.0713,-0.490381454,8.594504188,60.92247992,Retrotransposon hot spot protein 6 (RHS6)  putative
196,Tb927.11.4770,-0.750960659,5.129346563,60.85560194,retrotransposon hot spot protein (RHS  pseudogene)  putative
197,KS17gene_512a,0.939775004,4.301548989,60.83992223,none
198,Tb927.10.8480,-0.608158223,6.376678506,60.65508927,glucose transporter  putative
199,Tb927.10.8460,-0.640801307,6.60819534,60.33150874,glucose transporter  putative
200,Tb927.7.1310,0.503838741,7.751928798,60.24339424,hypothetical protein  conserved
201,Tb927.1.2100,0.475420261,9.070356177,60.11424871,Calpain-like protein 1.1
202,TRY.17,0.819442436,7.252822459,59.29203816,none
203,Tb927.10.12730,-0.569233071,5.928063937,58.76898923,hypothetical protein
204,Tb927.11.16130,-0.738673717,9.090387337,58.7413485,nucleoside diphosphate kinase
205,Tb927.9.7890,-0.74211464,5.225394855,58.37292585,hypothetical protein  conserved
206,Tb927.7.4480,-0.574226284,5.73407504,58.26148213,adenosine 5'-monophosphoramidase  putative
207,Tb427.BES40.12,0.65852534,7.224621097,58.23848469,none
208,Tb427.BES129.6-pseudo,0.959635719,4.940843649,58.1162779,none
209,Tb11.v5.0216,-0.565444842,5.922535321,58.04924267,invariant surface glycoprotein  putative
210,Tb927.3.4640,-0.880822277,4.711248216,57.66388318,VIT family  putative
211,Tb927.3.3427,-1.183600475,3.92952472,57.64296172,M6 ribosomal RNA
212,Tb927.7.7420,-0.500453621,7.316116423,57.61870398,ATP synthase F1  alpha subunit
213,Tb11.v5.0310,-0.614791686,5.493431472,57.58677571,THT1 - hexose transporter  putative
214,Tb927.2.2490,0.632169916,6.498926966,57.58006768,hypothetical protein
215,Tb927.11.5280,-0.623802196,5.587593153,57.40028104,Mitochondrial ATP synthase subunit c-1
216,Tb927.2.1407,-1.091942331,4.307904152,57.31142579,M2 ribosomal RNA
217,Tb927.6.2300,0.540506351,6.983952267,56.56927162,adenosine kinase  putative
218,Tb11.v5.0330,-0.585833135,7.050277114,56.55352219,THT1 - hexose transporter  putative
219,TRY.498,-1.028864242,4.060379798,56.17405751,none
220,Tb927.10.10250,1.062878563,4.309262994,55.96593042,EP2 procyclin
221,Tb927.8.5440,0.67883288,6.62414356,55.83829656,flagellar calcium-binding 24 kDa protein
222,Tb927.7.7430,-0.491303041,7.449824065,55.73417807,ATP synthase F1  alpha subunit
223,Tb927.2.2008,-1.186103635,3.301917481,55.73450612,M4 ribosomal RNA
224,Tb427VSG-397,2.015532448,2.750523887,55.70734755,none
225,Tb927.6.4750,-0.629648593,6.406708114,55.47188208,hypothetical protein  conserved
226,Tb927.11.5900,0.664421625,5.210018874,55.33038217,hypothetical protein  conserved
227,Tb927.10.8450,-0.654214899,5.220112458,55.22655485,glucose transporter 1E
228,Tb927.7.6920,0.624615573,5.950422292,55.16847697,hypothetical protein  conserved
229,Tb927.7.2010,1.354661704,2.635344116,55.07953602,retrotransposon hot spot protein 7 (RHS7)  putative
230,Tb927.5.340,-0.856220194,5.258195575,54.78370051,expression site-associated gene 5 (ESAG5) protein  putative
231,Tb427VSG-1755,-1.916491108,2.492183744,54.66932656,none
232,MSTRG.644,-0.960335794,4.200796849,54.55819084,none
233,KS17gene_2222a,-0.600582058,5.943248476,54.30798528,none
234,Tb927.7.6866,-1.185748203,4.095686103,54.27123292,M6 ribosomal RNA
235,Tb927.10.10240,1.230752647,4.404428089,53.80551131,procyclin-associated gene 1 (PAG1) protein
236,Tb927.5.1060,-0.511006396,6.658421342,53.69729327,mitochondrial processing peptidase  beta subunit  putative
237,Tb927.5.1780,0.514591561,7.848844985,53.49755941,hypothetical protein  conserved
238,Tb927.5.910,0.517905869,6.935837912,53.39009381,oligosaccharyl transferase subunit  putative
239,Tb427VSG-1954,2.049235505,3.032019651,53.25024073,none
240,Tb927.10.10000,-0.635645419,7.613733799,53.10400569,hypothetical protein  conserved
241,Tb427VSG-322,-2.400775283,2.549648913,52.94407465,none
242,Tb927.11.14630,-0.553507018,6.296835797,52.93323566,ATP-dependent DNA DEAD/DEAH box helicase  putative
243,Tb927.7.1330,0.553436986,6.236463577,52.82012922,hypothetical protein  conserved
244,Tb927.3.2650,-0.705146082,5.238426523,52.59665764,cytochrome c oxidase copper chaperone  putative
245,Tb11.v5.0514,-0.946568616,3.935360158,52.5109388,cation transporter  putative
246,Tb927.6.187,-1.152606459,3.257598382,52.37611147,28S alpha ribosomal RNA (fragment)
247,TRY.109,-0.451532878,7.820803752,52.15926087,none
248,Tb427.BES40.14,0.477441438,8.685456888,51.89644308,none
249,Tb927.10.3960,-0.494776765,6.331338675,51.86182603,hypothetical protein  conserved
250,Tb927.7.3020,0.548433415,6.431528595,51.84538309,Nitroreductase family  putative
251,Tb927.2.4590,-0.46169578,7.9909492,51.79442772,branched-chain amino acid aminotransferase  putative
252,KS17gene_3048a,-0.653851041,6.03384547,51.78353225,none
253,Tb427VSG-1637,0.717007748,4.570986715,51.69271367,none
254,Tb927.3.4090,-0.456266013,7.571606419,51.43341237,Pyruvate transporter  putative
255,Tb927.2.1500,-1.207727481,4.314550129,51.40918897,M2 ribosomal RNA
256,Tb927.2.1416,-1.019349493,6.386741335,51.05254331,28S beta ribosomal RNA
257,Tb11.v5.0789,-0.69333954,4.723067861,50.95634731,expression site-associated gene 2 (ESAG2) protein  putative
258,Tb927.10.12000,-0.513233634,5.728677814,50.87375013,iron-sulfur cluster assembly protein  putative
259,Tb927.7.2000,1.322353949,2.69800467,50.69751327,retrotransposon hot spot protein 7 (RHS7)  putative
260,Tb927.9.15720,1.12516844,3.259326853,50.6034917,hypothetical protein  conserved
261,Tb927.7.3970,-0.492107501,7.364597735,50.57752624,hypothetical protein  conserved
262,Tb927.3.3442,-0.994236519,4.931140467,50.4676452,M1 ribosomal RNA
263,Tb11.02.5400,-0.906106265,5.081739581,49.9278746,cystathionine beta-synthase  putative
264,Tb927.8.6750,-0.566966261,5.674712006,49.82300185,translationally controlled tumor protein (TCTP)  putative
265,Tb427.BES40.15,0.641271927,7.502644772,49.78392901,none
266,Tb927.10.13090,-0.644692064,5.967388053,49.77428044,PhoD-like phosphatase  putative
267,Tb927.3.3452,-0.985206655,6.535756547,49.67601231,28S beta ribosomal RNA
268,Tb927.6.3140,0.571861248,5.789075418,49.4931554,Ubiquitin-like protein 11
269,Tb927.11.13610,0.567881199,5.438297387,49.19953099,rhodanese-like domain containing protein  putative
270,Tb927.11.6550,0.461762725,8.762329812,49.17178296,PUF nine target 1
271,Tb927.8.5270,-0.783743513,5.298506976,49.12732662,hypothetical protein  conserved
272,Tb927.11.900,0.479085929,7.176203405,49.06212516,isocitrate dehydrogenase  putative
273,Tb10_rRNA_2:rRNA,-0.895145851,5.220863172,49.02041651,28S alpha ribosomal RNA
274,tmp.1.40,-0.923404367,6.627975446,48.9200552,28S alpha ribosomal RNA
275,KS17gene_11a,0.755527082,5.95201757,48.83001712,none
276,Tb927.7.2640,0.481050767,7.743579162,48.74776201,cytoskeleton associated protein  putative
277,Tb927.2.1942,-0.947255047,3.649142843,48.70020219,5.8S ribosomal RNA
278,Tb927.9.12980,0.452442292,7.552972613,48.45673433,Alpha/beta hydrolase family  putative
279,Tb927.5.310,-0.527063665,7.290552822,48.40734338,invariant surface glycoprotein  putative
280,Tb927.9.4200,-0.435025918,8.152705331,48.39332443,fatty acyl CoA synthetase 2
281,MSTRG.527,1.276110417,2.636174834,48.37205058,none
282,Tb11.v5.0254,-0.472561932,7.826042051,48.06727957,pantothenate kinase subunit  putative
283,Tb927.11.7290,-0.492578519,7.520290291,48.02636052,pantothenate kinase subunit  putative
284,Tb11.01.6240,-0.723728246,4.621011213,47.73739107,expression site-associated gene 2 (ESAG2) protein  putative
285,MSTRG.967,-1.062306671,5.882943064,47.43203315,none
286,KS17gene_810a,-0.470579953,6.857273628,46.87928639,none
287,Tb927.10.9270,0.611888428,5.810868863,46.87675537,emp24/gp25L/p24 family/GOLD  putative
288,Tb927.11.2240,-0.566565934,6.111558025,46.80658897,hypothetical protein  conserved
289,Tb927.8.6700,0.65237077,4.849002382,46.77131924,hypothetical protein  conserved
290,Tb927.3.3330,-0.528475321,5.618277654,46.44958883,heat shock protein 20  putative
291,Tb11.v5.0309,-0.610563173,6.686639989,46.20629374,THT1 - hexose transporter  putative
292,Tb927.6.2200,0.565184246,6.271320185,46.18807769,DJ-1 family protein  putative
293,Tb927.5.309b,-0.448222791,7.097641609,46.05266612,invariant surface glycoprotein  putative
294,Tb927.8.3620,-0.497160746,7.064675783,45.99531011,folate transporter  putative
295,Tb927.3.3454,-1.170640437,3.467987755,45.80267414,M6 ribosomal RNA
296,Tb927.8.6730,-0.576240536,7.057389107,45.54077737,Enriched in surface-labeled proteome protein 24
297,Tb927.5.610,-0.670818076,8.107080279,45.41175526,acidic phosphatase  putative
298,KS17gene_1468a,-0.627483487,5.325732471,45.33803683,none
299,Tb927.3.4110,-0.428674022,7.70753453,45.32237035,Pyruvate transporter  putative
300,Tb427.BES40.9,0.664067878,7.487195038,44.53915246,none
301,KS17gene_6850a,-0.584057852,5.150243742,44.53173231,none
302,Tb927.8.1945,-0.529391877,5.688916852,44.47145054,hypothetical protein
303,Tb11.v5.0797,0.567974975,6.192367184,44.46731644,flagellar calcium-binding protein
304,Tb427.BES40.2,0.96079532,8.75423516,44.414528,none
305,Tb927.11.3760,-0.453323901,7.683470113,44.34485959,hypothetical protein
306,Tb927.1.2370,-0.430502047,11.19877202,44.32683029,beta tubulin
307,Tb927.2.1490,-1.262132396,3.960408747,44.27848332,M6 ribosomal RNA
308,Tb927.7.4390,-0.692337679,5.930985098,44.21878725,threonine synthase  putative
309,Tb11.v5.0884,-0.789368238,7.140104196,44.21090675,hypothetical protein  conserved
310,Tb927.10.13710,-0.51757411,6.716477988,44.15062385,Activator of Hsp90 ATPase  N-terminal/Activator of Hsp90 ATPase homolog 1-like protein  putative
311,Tb927.11.11680,-0.496687618,8.140466462,43.69644409,2-oxoglutarate dehydrogenase E2 component  putative
312,Tb927.5.3360,-0.48505161,6.066275945,43.66909287,mitochondrial ribosomal protein L2
313,Tb927.3.5080,-0.505591498,8.090431072,43.62011021,PSP1 C-terminal conserved region  putative
314,Tb927.7.610,0.454843585,7.479276801,43.40419237,mitochondrial DNA ligase homolog  LIG k-alpha
315,MSTRG.118,-2.25854669,0.824570693,43.37803422,none
316,Tb927.3.945,-0.504233455,5.962828757,43.21113587,hypothetical protein
317,TRY.641,-0.555773607,5.789099092,43.14287992,none
318,Tb427VSG-1600,0.712729024,4.520505599,43.09409593,none
319,Tb927.3.4100,-0.462964134,8.311569289,43.09412774,Pyruvate transporter  putative
320,KS17gene_1079a,1.09618513,3.637358808,43.05825187,none
321,Tb11.01.6241,-0.715388173,4.651197742,42.99402805,expression site-associated gene (ESAG) protein  putative
322,Tb927.11.12650,0.437568983,6.421349804,42.87789195,palmitoyl acyltransferase 5  putative
323,Tb927.5.3260,0.42427841,7.246002821,42.83431205,WD domain  G-beta repeat  putative
324,Tb927.10.8510,-0.602211547,5.718402749,42.80346844,glucose transporter  putative
325,Tb927.7.6883,-0.925588955,6.431540783,42.80181661,28S alpha ribosomal RNA
326,Tb927.2.3460,-0.581291552,5.231747919,42.75591906,cysteine peptidase  Clan CA  family C51  putative
327,Tb927.10.10970,-0.569790289,6.736997838,42.72025314,heat shock protein  putative
328,KS17gene_3199a,-0.912081124,3.835710021,42.45565645,none
329,KS17gene_6497a,-0.591572596,5.310136205,42.32591272,none
330,Tb927.10.12810,0.432624532,7.067168601,42.30536624,cholinephosphate cytidylyltransferase A  putative
